Project Name,Cluster,Username,Password,Python Connection String
Project_Auto_92311,Cluster1,admin,Password123,mongodb+srv://admin:Password123@cluster1.msnelsd.mongodb.net
Project_Auto_92472,Cluster2,admin,Password123,mongodb+srv://admin:Password123@cluster2.2k3ieab.mongodb.net
Project_Auto_92613,Cluster3,admin,Password123,mongodb+srv://admin:Password123@cluster3.9wzcwje.mongodb.net
Project_Auto_92754,Cluster4,admin,Password123,mongodb+srv://admin:Password123@cluster4.34vofp0.mongodb.net
Project_Auto_92905,Cluster5,admin,Password123,mongodb+srv://admin:Password123@cluster5.e3t5fyu.mongodb.net
Project_Auto_93046,Cluster6,admin,Password123,mongodb+srv://admin:Password123@cluster6.fc9i1fy.mongodb.net
Project_Auto_93197,Cluster7,admin,Password123,mongodb+srv://admin:Password123@cluster7.qsexiv7.mongodb.net
Project_Auto_93358,Cluster8,admin,Password123,mongodb+srv://admin:Password123@cluster8.vw9csdv.mongodb.net
Project_Auto_93499,Cluster9,admin,Password123,mongodb+srv://admin:Password123@cluster9.fvtcnlx.mongodb.net
Project_Auto_936410,Cluster10,admin,Password123,mongodb+srv://admin:Password123@cluster10.i5u3dex.mongodb.net
Project_Auto_98861,Cluster1,admin,Password123,mongodb+srv://admin:Password123@cluster1.fewamdg.mongodb.net
Project_Auto_99002,Cluster2,admin,Password123,mongodb+srv://admin:Password123@cluster2.hzruw0b.mongodb.net
Project_Auto_99153,Cluster3,admin,Password123,mongodb+srv://admin:Password123@cluster3.ybjlrgs.mongodb.net
Project_Auto_99294,Cluster4,admin,Password123,mongodb+srv://admin:Password123@cluster4.dhmndjf.mongodb.net
Project_Auto_99435,Cluster5,admin,Password123,mongodb+srv://admin:Password123@cluster5.2llxc0o.mongodb.net
Project_Auto_99576,Cluster6,admin,Password123,mongodb+srv://admin:Password123@cluster6.yc4v7zf.mongodb.net
Project_Auto_99717,Cluster7,admin,Password123,mongodb+srv://admin:Password123@cluster7.az13lsc.mongodb.net
Project_Auto_99868,Cluster8,admin,Password123,mongodb+srv://admin:Password123@cluster8.ai58jrk.mongodb.net
Project_Auto_00019,Cluster9,admin,Password123,mongodb+srv://admin:Password123@cluster9.yx9pxtb.mongodb.net
Project_Auto_001610,Cluster10,admin,Password123,mongodb+srv://admin:Password123@cluster10.kr2qitg.mongodb.net
Project_Auto_00781,Cluster1,admin,Password123,mongodb+srv://admin:Password123@cluster1.x0hvxgb.mongodb.net
Project_Auto_00922,Cluster2,admin,Password123,mongodb+srv://admin:Password123@cluster2.xvj4gkv.mongodb.net
Project_Auto_01063,Cluster3,admin,Password123,mongodb+srv://admin:Password123@cluster3.tdtjdh0.mongodb.net
Project_Auto_01224,Cluster4,admin,Password123,mongodb+srv://admin:Password123@cluster4.tteuy9y.mongodb.net
Project_Auto_01375,Cluster5,admin,Password123,mongodb+srv://admin:Password123@cluster5.wfhdmec.mongodb.net
Project_Auto_01526,Cluster6,admin,Password123,mongodb+srv://admin:Password123@cluster6.xrviwgg.mongodb.net
Project_Auto_01677,Cluster7,admin,Password123,mongodb+srv://admin:Password123@cluster7.0wjxc8a.mongodb.net
Project_Auto_01828,Cluster8,admin,Password123,mongodb+srv://admin:Password123@cluster8.2nd4bd1.mongodb.net
Project_Auto_01969,Cluster9,admin,Password123,mongodb+srv://admin:Password123@cluster9.w2jxomp.mongodb.net
Project_Auto_021110,Cluster10,admin,Password123,mongodb+srv://admin:Password123@cluster10.f3uldig.mongodb.net
Project_Auto_40391,Cluster1,admin,Password123,mongodb+srv://admin:Password123@cluster1.zjq3xeh.mongodb.net
Project_Auto_40532,Cluster2,admin,Password123,mongodb+srv://admin:Password123@cluster2.r3hp2pv.mongodb.net
Project_Auto_40663,Cluster3,admin,Password123,mongodb+srv://admin:Password123@cluster3.ewvykgu.mongodb.net
Project_Auto_40814,Cluster4,admin,Password123,mongodb+srv://admin:Password123@cluster4.rnesfei.mongodb.net
Project_Auto_40965,Cluster5,admin,Password123,mongodb+srv://admin:Password123@cluster5.a73vpby.mongodb.net
Project_Auto_41096,Cluster6,admin,Password123,mongodb+srv://admin:Password123@cluster6.rzxpg6o.mongodb.net
Project_Auto_41237,Cluster7,admin,Password123,mongodb+srv://admin:Password123@cluster7.ooppuni.mongodb.net
Project_Auto_41388,Cluster8,admin,Password123,mongodb+srv://admin:Password123@cluster8.utr75q6.mongodb.net
Project_Auto_41529,Cluster9,admin,Password123,mongodb+srv://admin:Password123@cluster9.mts5gzb.mongodb.net
Project_Auto_416710,Cluster10,admin,Password123,mongodb+srv://admin:Password123@cluster10.f6kascy.mongodb.net
Project_Auto_42571,Cluster1,admin,Password123,mongodb+srv://admin:Password123@cluster1.ukhmzm4.mongodb.net
Project_Auto_42702,Cluster2,admin,Password123,mongodb+srv://admin:Password123@cluster2.34e08qw.mongodb.net
Project_Auto_42833,Cluster3,admin,Password123,mongodb+srv://admin:Password123@cluster3.9dokrcl.mongodb.net
Project_Auto_42974,Cluster4,admin,Password123,mongodb+srv://admin:Password123@cluster4.op9cemd.mongodb.net
Project_Auto_43125,Cluster5,admin,Password123,mongodb+srv://admin:Password123@cluster5.hjofabn.mongodb.net
Project_Auto_43266,Cluster6,admin,Password123,mongodb+srv://admin:Password123@cluster6.mp6ewqx.mongodb.net
Project_Auto_43397,Cluster7,admin,Password123,mongodb+srv://admin:Password123@cluster7.ucmsxd6.mongodb.net
Project_Auto_43538,Cluster8,admin,Password123,mongodb+srv://admin:Password123@cluster8.mufxpep.mongodb.net
Project_Auto_43669,Cluster9,admin,Password123,mongodb+srv://admin:Password123@cluster9.u4ugddw.mongodb.net
Project_Auto_438010,Cluster10,admin,Password123,mongodb+srv://admin:Password123@cluster10.l9x2fig.mongodb.net
Project_Auto_44411,Cluster1,admin,Password123,mongodb+srv://admin:Password123@cluster1.us3uycl.mongodb.net
Project_Auto_44552,Cluster2,admin,Password123,mongodb+srv://admin:Password123@cluster2.ckem25q.mongodb.net
Project_Auto_44693,Cluster3,admin,Password123,mongodb+srv://admin:Password123@cluster3.rgbxfsr.mongodb.net
Project_Auto_44834,Cluster4,admin,Password123,mongodb+srv://admin:Password123@cluster4.yexrir2.mongodb.net
Project_Auto_44975,Cluster5,admin,Password123,mongodb+srv://admin:Password123@cluster5.4bvnjza.mongodb.net
Project_Auto_45126,Cluster6,admin,Password123,mongodb+srv://admin:Password123@cluster6.bjymwnr.mongodb.net
Project_Auto_45267,Cluster7,admin,Password123,mongodb+srv://admin:Password123@cluster7.ydl6sjs.mongodb.net
Project_Auto_45428,Cluster8,admin,Password123,mongodb+srv://admin:Password123@cluster8.jxyqdwn.mongodb.net
Project_Auto_45559,Cluster9,admin,Password123,mongodb+srv://admin:Password123@cluster9.fyhu2jq.mongodb.net
Project_Auto_457010,Cluster10,admin,Password123,mongodb+srv://admin:Password123@cluster10.kkem6rc.mongodb.net
Project_Auto_46091,Cluster1,admin,Password123,mongodb+srv://admin:Password123@cluster1.49i0b2d.mongodb.net
Project_Auto_46242,Cluster2,admin,Password123,mongodb+srv://admin:Password123@cluster2.bpiuulx.mongodb.net
Project_Auto_46413,Cluster3,admin,Password123,mongodb+srv://admin:Password123@cluster3.soj1tpb.mongodb.net
Project_Auto_46544,Cluster4,admin,Password123,mongodb+srv://admin:Password123@cluster4.x5vhnf6.mongodb.net
Project_Auto_46685,Cluster5,admin,Password123,mongodb+srv://admin:Password123@cluster5.850of76.mongodb.net
Project_Auto_46826,Cluster6,admin,Password123,mongodb+srv://admin:Password123@cluster6.6rhku4q.mongodb.net
Project_Auto_46957,Cluster7,admin,Password123,mongodb+srv://admin:Password123@cluster7.oz1zxl4.mongodb.net
Project_Auto_47088,Cluster8,admin,Password123,mongodb+srv://admin:Password123@cluster8.6rhrxvc.mongodb.net
Project_Auto_47249,Cluster9,admin,Password123,mongodb+srv://admin:Password123@cluster9.xgyxqbb.mongodb.net
Project_Auto_474010,Cluster10,admin,Password123,mongodb+srv://admin:Password123@cluster10.o0gmx91.mongodb.net
Project_Auto_48421,Cluster1,admin,Password123,mongodb+srv://admin:Password123@cluster1.mucyp18.mongodb.net
Project_Auto_48562,Cluster2,admin,Password123,mongodb+srv://admin:Password123@cluster2.c5rej2b.mongodb.net
Project_Auto_48713,Cluster3,admin,Password123,mongodb+srv://admin:Password123@cluster3.jvxmyed.mongodb.net
Project_Auto_48854,Cluster4,admin,Password123,mongodb+srv://admin:Password123@cluster4.kznxumg.mongodb.net
Project_Auto_49005,Cluster5,admin,Password123,mongodb+srv://admin:Password123@cluster5.vui88jn.mongodb.net
Project_Auto_49136,Cluster6,admin,Password123,mongodb+srv://admin:Password123@cluster6.jz0sfmx.mongodb.net
Project_Auto_49277,Cluster7,admin,Password123,mongodb+srv://admin:Password123@cluster7.oc49tyu.mongodb.net
Project_Auto_49428,Cluster8,admin,Password123,mongodb+srv://admin:Password123@cluster8.f2yvuir.mongodb.net
Project_Auto_49559,Cluster9,admin,Password123,mongodb+srv://admin:Password123@cluster9.bq2oq5y.mongodb.net
Project_Auto_496910,Cluster10,admin,Password123,mongodb+srv://admin:Password123@cluster10.3wilhym.mongodb.net
Project_Auto_74491,Cluster1,admin,Password123,mongodb+srv://admin:Password123@cluster1.h3uffk2.mongodb.net
Project_Auto_74632,Cluster2,admin,Password123,mongodb+srv://admin:Password123@cluster2.dzbddbz.mongodb.net
Project_Auto_74763,Cluster3,admin,Password123,mongodb+srv://admin:Password123@cluster3.51hwcdi.mongodb.net
